ACOUSTICS,,
,,
1,China Nanjing University ,100
2,China Shandong University ,93.65
3,China Jilin University ,93.43
4,China Northeast Normal University ,91.1
5,China Nankai University ,88.76
6,China University of Chinese Academy of Sciences ,88.54
7,China Sun Yat-sen University ,87.93
8,China University of Science and Technology of China ,83.99
9,Japan Tohoku University ,83.48
10,Singapore National University of Singapore ,83.38
,,
,,
,,
,,
CULTURAL STUDIES,,
,,
World Rank,Institution,Score
1,"United Kingdom Goldsmiths, University of London ",100
2,USA University of Chicago ,99.59
3,USA New York University ,98.75
4,USA Columbia University ,91.29
5,USA Duke University ,90.7
6,United Kingdom Lancaster University ,89.48
7,Australia University of Sydney ,87.52
8,Netherlands University of Amsterdam ,86.84
9,"USA University of California, Berkeley ",86.13
10,USA Harvard University ,85.4
,,
,,
,,
,,
DEMOGRAPHY,,
,,
World Rank,Institution,Score
1,United Kingdom University of Oxford ,100
2,USA University of Wisconsin–Madison ,95.21
3,USA University of Michigan ,92.89
4,Netherlands University of Amsterdam ,91.38
5,USA Princeton University ,90.86
6,"USA University of California, Berkeley ",88.64
7,"USA University of California, San Francisco ",88.05
8,USA University of North Carolina at Chapel Hill ,87.44
8,USA University of Pennsylvania ,87.44
10,USA Columbia University ,86.82
10,"USA University of California, Los Angeles ",86.82
,,
,,
,,
,,
"DENTISTRY, ORAL SURGERY & MEDICINE",,
,,
World Rank,Institution,Score
1,Brazil University of São Paulo ,100
2,USA Harvard University ,93.35
3,Switzerland University of Bern ,92.39
4,"Brazil UNESP, São Paulo State University ",91.82
5,Brazil University of Campinas ,89.82
6,Hong Kong University of Hong Kong ,89.78
7,USA University of Michigan ,89.42
8,Sweden University of Gothenburg ,89.15
9,Switzerland University of Zurich ,89.01
10,USA Augusta University ,88.31
,,
,,
,,
,,
DERMATOLOGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,Denmark University of Copenhagen ,95.97
3,"USA University of California, San Francisco ",94.45
4,Germany Free University of Berlin ,94.28
5,Germany Humboldt University of Berlin ,93.99
6,USA University of Pennsylvania ,92.34
7,United Kingdom University of Manchester ,90.57
8,United Kingdom King's College London ,90.06
9,Sweden Karolinska Institute ,87.51
10,Germany Ruprecht Karl University of Heidelberg ,86.72
10,Germany University of Münster ,86.72
,,
,,
,,
,,
DEVELOPMENTAL BIOLOGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA University of Pennsylvania ,88.13
3,"USA University of California, San Francisco ",87.98
4,United Kingdom University of Cambridge ,87.14
5,Canada University of Toronto ,84.39
6,USA Stanford University ,83.76
6,"USA University of California, San Diego ",83.76
8,United Kingdom University College London ,82.14
9,USA Massachusetts Institute of Technology ,82
10,Japan University of Tokyo ,81.71
,,
,,
,,
,,
ECOLOGY,,
,,
World Rank,Institution,Score
1,United Kingdom University of Oxford ,100
2,"USA University of California, Berkeley ",99.98
3,"USA University of California, Davis ",99.61
4,France University of Montpellier ,98.77
5,Canada University of British Columbia ,96.73
6,Australia University of Queensland ,95.91
7,United Kingdom University of Cambridge ,95.32
8,USA Cornell University ,94.97
9,France Pierre-and-Marie-Curie University ,94.31
10,United Kingdom University of Sheffield ,94.08
,,
,,
,,
,,
ECONOMICS,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA University of Chicago ,95.34
3,"USA University of California, Berkeley ",94.09
4,USA Stanford University ,93.36
5,USA Massachusetts Institute of Technology ,93.34
6,United Kingdom London School of Economics ,92.89
7,USA Columbia University ,92.49
8,USA New York University ,91.87
9,USA University of Pennsylvania ,91.35
10,USA Northwestern University ,91.09
,,
,,
,,
,,
EDUCATION & EDUCATIONAL RESEARCH,,
,,
World Rank,Institution,Score
1,USA University of Michigan ,100
2,USA Michigan State University ,97.83
3,USA Harvard University ,97.02
4,USA Columbia University ,96.72
5,Netherlands Maastricht University ,95.73
6,USA Stanford University ,94.26
7,USA Florida State University ,93.48
7,USA University of North Carolina at Chapel Hill ,93.48
9,USA University of Wisconsin–Madison ,93.26
10,Canada University of Toronto ,93.18
,,
,,
,,
,,
"EDUCATION, SCIENTIFIC DISCIPLINES",,
,,
World Rank,Institution,Score
1,Netherlands Maastricht University ,100
2,Canada University of Toronto ,99.51
3,USA Harvard University ,97.63
4,"USA University of California, San Francisco ",89.77
5,Canada University of British Columbia ,87.51
6,Canada McMaster University ,86.06
7,USA Johns Hopkins University ,85.85
8,USA University of Pennsylvania ,84.69
9,Canada University of Calgary ,84.57
10,USA University of Michigan ,83.07
,,
,,
,,
,,
"EDUCATION, SPECIAL",,
,,
World Rank,Institution,Score
1,Netherlands Radboud University Nijmegen ,100
2,Belgium Katholieke Universiteit Leuven ,93.56
3,Netherlands University of Groningen ,89.66
4,USA Louisiana State University ,86.64
4,Italy University of Bari Aldo Moro ,86.64
6,USA University of Texas at Austin ,85.34
7,New Zealand Victoria University of Wellington ,83.95
8,Netherlands VU University Amsterdam ,82.46
9,Netherlands Erasmus University Rotterdam ,80.85
10,United Kingdom University College London ,79.81
,,
,,
,,
,,
ELECTROCHEMISTRY,,
,,
World Rank,Institution,Score
1,China Tsinghua University ,100
2,China Central South University ,99.37
3,China Harbin Institute of Technology ,99.2
4,China University of Science and Technology of China ,97.28
5,China Zhejiang University ,94.95
6,China University of Chinese Academy of Sciences ,94.44
7,China Shanghai Jiao Tong University ,93.97
7,China Tianjin University ,93.97
9,China South China University of Technology ,92.62
10,South Korea Hanyang University ,91.15
,,
,,
,,
,,
EMERGENCY MEDICINE,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA University of Pennsylvania ,99.02
3,USA University of Pittsburgh ,91.54
4,USA University of Washington ,91.31
5,Australia Monash University ,89.95
6,Canada University of Toronto ,89.69
7,Norway University of Oslo ,88.21
8,Austria Medical University of Vienna ,86.28
9,"USA University of California, San Francisco ",85.81
10,USA Johns Hopkins University ,84.65
,,
,,
,,
,,
ENDOCRINOLOGY & METABOLISM,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,Denmark University of Copenhagen ,88.33
3,USA University of Pittsburgh ,85.99
4,Canada University of Toronto ,85.52
